,name,train_batch_size,predict_batch_size,train_epochs,lr,criterion,use_gpu,if_scheduler,layers,train_loss,epoch0,epoch1,epoch2,epoch3,epoch4,epoch5,epoch6,epoch7,epoch8,epoch9,epoch10,epoch11,epoch12,epoch13,epoch14
01/31/2023 23:21,cifar10,100,100,120,0.0001,CE,True,False,"[('specific', ((3, 63, 9), 2, 'avg', (1, 1), 'relu')), ('agnostic', ((63, 63, 9), 2, 'avg', (2, 2), 'relu')), ('agnostic', ((63, 129, 9), 2, 'avg', (1, 1), 'relu')), ('agnostic', ((129, 129, 9), 2, 'avg', (2, 2), 'relu')), ('agnostic', ((129, 255, 9), 2, 'avg', (1, 1), 'relu')), ('agnostic', ((255, 255, 9), 2, 'avg', (2, 2), 'relu')), ('agnostic', ((255, 513, 9), 2, 'avg', (1, 1), 'relu')), ('agnostic', ((513, 513, 9), 2, 'avg', (2, 2), 'relu')), ('linear', (2052, 10, (1, 2, 3))), ('softmax', 1)]","{'epoch0': 2.0952062129974367, 'epoch1': 2.0204042389392853}",0.3847,0.4457,,,,,,,,,,,,,
01/31/2023 23:26,cifar10,100,100,15,0.0001,CE,True,False,"[('specific', ((3, 63, 9), 2, 'avg', (1, 1), 'relu')), ('agnostic', ((63, 63, 9), 2, 'avg', (2, 2), 'relu')), ('agnostic', ((63, 129, 9), 2, 'avg', (1, 1), 'relu')), ('agnostic', ((129, 129, 9), 2, 'avg', (2, 2), 'relu')), ('agnostic', ((129, 255, 9), 2, 'avg', (1, 1), 'relu')), ('agnostic', ((255, 255, 9), 2, 'avg', (2, 2), 'relu')), ('agnostic', ((255, 513, 9), 2, 'avg', (1, 1), 'relu')), ('agnostic', ((513, 513, 9), 2, 'avg', (2, 2), 'relu')), ('linear', (2052, 10, (1, 2, 3))), ('softmax', 1)]","{'epoch0': 2.0900993931293486, 'epoch1': 2.013773063659668, 'epoch2': 1.971105889081955, 'epoch3': 1.9489868030548096, 'epoch4': 1.9279275953769683, 'epoch5': 1.909353773355484, 'epoch6': 1.8894576728343964, 'epoch7': 1.874117867231369, 'epoch8': 1.858563318014145, 'epoch9': 1.8454285876750947, 'epoch10': 1.8276420240402222, 'epoch11': 1.8146173729896546, 'epoch12': 1.801930464744568, 'epoch13': 1.7892774102687836, 'epoch14': 1.7773967554569245}",0.3269,0.4254,0.4468,0.4435,0.486,0.503,0.5037,0.5403,0.5255,0.532,0.549,0.5244,0.5732,0.5686,0.5766
